1,701,3,322
2,612,16,283
3,674,8,660
4,791,25,386
5,796,18,259
6,337,34,658
7,863,37,777
8,19,31,771
9,543,44,919
10,939,34,143
11,819,18,845
12,682,37,486
13,31,17,144
14,353,26,927
15,49,35,722
16,302,35,442
17,778,2,6
18,904,24,659
19,915,31,598
20,386,30,924
21,690,40,287
22,180,25,185
23,822,4,825
24,513,2,47
25,75,32,873
26,837,44,877
27,974,2,243
28,687,45,708
29,146,6,73
30,704,25,28
31,368,13,376
32,986,42,529
33,990,44,348
34,626,43,420
35,879,34,938
36,873,1,694
37,288,4,8
38,9,35,810
39,556,41,473
40,57,4,20
41,960,45,506
42,255,3,757
43,405,31,636
44,886,21,592
45,691,17,840
46,202,34,880
47,939,32,365
48,269,17,73
49,161,20,252
50,804,2,677
51,671,44,740
52,574,21,895
53,252,36,951
54,98,9,393
55,891,45,408
56,418,6,562
57,689,17,423
58,545,5,87
59,640,16,358
60,840,6,436
61,888,3,651
62,714,20,940
63,431,9,691
64,272,7,108
65,676,1,206
66,354,29,628
67,127,6,456
68,729,28,931
69,499,10,871
70,596,22,830
71,251,30,407
72,645,45,285
73,840,32,921
74,294,21,68
75,95,35,317
76,970,33,771
77,372,8,425
78,92,20,20
79,800,15,890
80,778,1,200
81,434,11,289
82,959,42,267
83,546,20,25
84,335,33,923
85,206,26,56
86,300,38,888
87,88,35,545
88,200,15,148
89,333,41,962
90,918,34,756
91,419,6,854
92,609,31,686
93,26,39,915
94,695,39,765
95,994,13,538
96,963,40,354
97,198,8,586
98,771,26,670
99,691,16,90
100,943,24,931
101,104,31,71
102,16,9,662
103,866,35,193
104,66,34,713
105,459,44,342
106,929,39,648
107,170,10,611
108,280,17,109
109,620,34,579
110,102,44,884
111,23,30,230
112,587,7,983
113,698,41,745
114,182,16,678
115,738,25,872
116,221,23,113
117,107,21,346
118,446,34,259
119,218,37,77
120,681,9,290
121,36,16,472
122,501,31,826
123,24,40,248
124,162,21,199
125,725,42,841
126,725,3,834
127,619,25,365
128,369,42,918
129,572,38,261
130,448,1,293
131,66,9,549
132,526,19,386
133,548,8,499
134,953,4,947
135,806,24,693
136,154,4,526
137,922,34,80
138,452,17,523
139,28,3,142
140,583,13,639
141,823,9,19
142,515,22,886
143,152,24,288
144,88,41,55
145,437,8,446
146,315,8,239
147,649,37,680
148,28,28,750
149,264,37,566
150,446,38,753
151,692,22,694
152,801,28,451
153,560,26,1
154,887,28,601
155,345,17,186
156,532,18,424
157,957,23,180
158,548,9,405
159,246,41,173
160,481,20,131
161,131,28,806
162,694,28,745
163,982,7,621
164,323,9,334
165,664,34,804
166,444,21,192
167,322,3,231
168,74,43,89
169,20,42,690
170,684,34,626
171,697,13,581
172,403,9,322
173,815,10,592
174,508,12,172
175,806,38,28
176,657,28,729
177,342,4,75
178,760,27,102
179,679,29,233
180,626,39,189
181,675,39,176
182,74,24,219
183,215,7,269
184,827,22,299
185,468,11,961
186,605,26,496
187,743,15,39
188,553,14,594
189,235,35,779
190,642,27,674
191,11,27,349
192,11,43,647
193,223,9,917
194,3,24,35
195,576,35,170
196,19,34,761
197,907,41,731
198,69,44,140
199,982,43,79
200,568,19,420
201,61,37,616
202,767,38,731
203,989,7,555
204,934,15,746
205,28,29,68
206,74,44,292
207,544,7,497
208,955,12,327
209,98,5,116
210,917,17,501
211,105,27,985
212,329,1,895
213,953,26,796
214,203,2,441
215,850,7,720
216,22,31,529
217,190,1,605
218,31,42,755
219,797,30,644
220,777,7,205
221,880,27,483
222,158,20,400
223,155,9,983
224,857,26,204
225,173,40,612
226,4,35,968
227,90,5,887
228,527,16,522
229,29,30,352
230,1,34,501
231,329,34,778
232,220,32,466
233,723,20,587
234,465,22,208
235,94,11,899
236,266,23,970
237,483,11,844
238,870,45,976
239,817,34,816
240,940,40,568
241,267,13,38
242,307,45,728
243,289,26,613
244,972,20,763
245,468,4,405
246,558,9,1
247,534,9,280
248,476,23,732
249,512,17,181
250,674,32,264
251,279,17,998
252,179,1,511
253,190,40,84
254,841,1,470
255,13,9,467
256,855,7,1
257,401,32,713
258,293,14,694
259,561,6,606
260,180,20,371
261,271,1,188
262,883,19,779
263,364,37,440
264,361,15,579
265,223,11,213
266,111,30,996
267,778,4,425
268,941,4,145
269,998,4,515
270,518,44,853
271,762,28,20
272,853,17,20
273,884,1,132
274,972,40,254
275,837,24,841
276,589,45,232
277,809,24,781
278,513,33,793
279,132,27,426
280,232,5,368
281,987,18,839
282,716,31,57
283,66,2,371
284,85,44,271
285,775,30,829
286,409,44,234
287,331,16,700
288,391,35,105
289,436,18,770
290,207,6,187
291,245,44,693
292,897,12,841
293,720,41,127
294,73,38,695
295,761,15,181
296,914,30,999
297,481,1,518
298,18,2,496
299,615,18,438
300,564,22,787
301,158,36,408
302,290,20,884
303,69,15,402
304,608,34,425
305,255,8,111
306,879,22,661
307,389,42,334
308,410,45,348
309,607,15,58
310,15,42,608
311,923,24,310
312,900,43,551
313,521,38,146
314,323,28,384
315,547,4,982
316,637,6,643
317,971,41,20
318,196,16,868
319,590,8,812
320,780,11,559
321,367,1,862
