1,307,271,2,3
2,757,131,2,3
3,231,165,2,3
4,727,39,1,5
5,479,32,2,1
6,416,424,1,2
7,673,206,1,5
8,967,95,1,1
9,164,112,2,1
10,784,109,2,5
11,266,486,1,5
12,831,711,1,4
13,73,983,2,2
14,512,557,1,3
15,124,475,2,2
16,980,790,2,1
17,190,9,1,1
18,779,11,2,5
19,721,745,1,3
20,640,733,1,2
21,603,742,2,4
22,102,599,1,3
23,328,118,2,5
24,648,880,2,5
25,425,696,1,4
26,283,822,1,2
27,609,951,1,5
28,303,412,2,5
29,496,943,2,1
30,420,798,2,4
31,394,122,2,4
32,510,620,2,1
33,796,925,2,3
34,386,478,1,4
35,377,463,1,3
36,143,483,1,3
37,412,18,1,1
38,709,315,1,5
39,296,894,1,5
40,100,490,2,1
41,30,514,2,4
42,573,61,2,4
43,828,591,1,4
44,479,418,2,5
45,324,781,2,1
46,303,436,2,1
47,861,992,1,4
48,523,780,1,1
49,457,896,1,5
50,659,580,1,5
51,614,43,2,4
52,654,69,2,1
53,760,911,1,4
54,494,769,2,2
55,983,843,2,3
56,378,971,1,2
57,120,97,1,3
58,412,512,1,2
59,145,527,2,5
60,291,627,1,4
61,846,636,1,5
62,894,628,2,3
63,84,924,1,1
64,629,618,2,4
65,969,64,2,1
66,98,507,2,4
67,891,590,1,5
68,70,511,1,4
69,251,618,2,4
70,475,563,1,1
71,839,17,1,4
72,879,847,1,5
73,567,960,2,5
74,293,702,1,2
75,893,688,1,4
76,183,621,1,5
77,227,650,2,1
78,368,87,2,2
79,824,802,2,3
80,736,874,2,5
81,962,531,2,3
82,981,296,2,4
83,61,584,2,4
84,679,4,1,3
85,422,224,2,5
86,772,721,1,1
87,983,896,2,3
88,679,952,1,5
89,202,647,1,1
90,309,694,1,2
91,449,83,1,5
92,694,453,1,4
93,154,754,2,4
94,163,681,2,2
95,477,705,2,3
96,681,407,1,3
97,145,921,1,3
98,61,617,2,4
99,907,259,1,2
100,241,101,1,3
101,648,647,1,3
102,647,228,1,5
103,906,94,1,5
104,383,138,2,1
105,334,406,1,3
106,876,824,1,4
107,987,971,1,3
108,537,993,1,3
109,363,463,1,2
110,590,855,2,1
111,511,269,2,3
112,945,296,2,3
113,80,927,2,3
114,131,162,2,3
115,931,649,2,1
116,424,239,2,3
117,345,211,2,2
118,573,919,2,2
119,160,504,1,2
120,952,95,2,5
121,216,579,2,5
122,346,675,2,4
123,917,432,2,4
124,747,603,1,2
125,153,566,2,5
126,451,589,2,1
127,169,288,2,1
128,507,743,1,2
129,61,257,2,1
130,567,792,1,4
131,936,538,1,3
132,452,985,1,1
133,9,831,2,5
134,871,811,1,5
135,473,165,2,4
136,851,418,2,3
137,831,86,2,4
138,665,893,1,5
139,959,717,1,5
140,742,333,1,3
